region_std,year,spi_grow_mean,spi_grow_min
Республика Калмыкия,2009,0.7573584490626702,0.2371449003354866
Республика Калмыкия,2010,-0.23707149659222904,-1.9571915620034088
Республика Калмыкия,2011,0.9135704141744069,-0.9097847259497056
Республика Калмыкия,2012,-0.21414355141629515,-0.973114810951484
Республика Калмыкия,2013,0.22051433467769685,-0.420265412733949
Республика Калмыкия,2014,-0.7475021418963602,-1.7854141439996445
Республика Калмыкия,2015,-0.5926363006750354,-1.667968373404786
Республика Калмыкия,2016,1.0042776804868951,-0.1923041226440628
Республика Калмыкия,2017,-0.3160858588340232,-1.9494069398331857
Республика Калмыкия,2018,-0.2612292870557443,-2.1913390938992254
Республика Калмыкия,2019,0.27534893680212297,-0.8942841965970931
Республика Калмыкия,2020,-0.6160809462050768,-2.1993126191399264
Республика Калмыкия,2021,0.688013540680252,-0.7182455925728348
Республика Калмыкия,2022,-0.25402747380835633,-1.4112660110497648
Республика Калмыкия,2023,-1.0851306298481465,-1.995908853917835
Республика Карелия,2007,0.7313469896109783,-1.143508300984493
Республика Карелия,2008,0.2626740333703091,-0.7976182197759868
Республика Карелия,2009,0.23698441675259066,-1.568631996987296
Республика Карелия,2010,-0.10850745204094474,-0.9370914824769744
Республика Карелия,2011,-0.27611760025774806,-1.5009280649793733
Республика Карелия,2012,0.9007094987429688,-1.1280739127905268
Республика Карелия,2013,-0.29770859290658436,-1.454802836583733
Республика Карелия,2014,-0.06963381272484265,-1.349381556165847
Республика Карелия,2015,0.5863379120362366,-0.5554005885745398
Республика Карелия,2016,0.6302057876100249,-1.3260668284609978
Республика Карелия,2017,0.6169328070259185,-0.8222219292969755
Республика Карелия,2018,-0.1890624905766299,-1.2238863379932554
Республика Карелия,2019,0.008383887705139675,-0.6813598041024332
Республика Карелия,2020,0.3429659260278302,-0.7977337636812183
Республика Карелия,2021,-0.07935168137258734,-1.1882704642523312
Республика Карелия,2022,-0.06661209429974564,-1.1821258360828777
Республика Карелия,2023,-1.2300387949200633,-1.9874526552486695
Республика Коми,2007,0.9880681487207706,-1.1708425415976584
Республика Коми,2008,0.3677266284023135,-0.3181531538605925
Республика Коми,2009,0.1992145223989683,-1.0748349396740564
Республика Коми,2010,-0.04005860916133449,-1.3214586399973496
Республика Коми,2011,-0.39079127506471595,-0.8428582765929317
Республика Коми,2012,0.5793375300021345,-1.289724497281568
Республика Коми,2013,-0.48095512420716374,-1.1173535998398885
Республика Коми,2014,0.3229572349557347,-0.5917682611724111
Республика Коми,2015,0.46047006284570324,-0.7850116639208158
Республика Коми,2016,-0.08825897626630548,-1.2372554621277616
Республика Коми,2017,0.8091628596631663,0.1553607718807188
Республика Коми,2018,-0.03426738753268027,-0.9922230888823076
Республика Коми,2019,1.4159877866622832,-0.5564658643327545
Республика Коми,2020,0.3440891610020136,-0.1032438105099151
Республика Коми,2021,0.20956850151930695,-1.2588466571614196
Республика Коми,2022,-0.3657567872350436,-1.0763467363945078
Республика Коми,2023,-1.386556987983741,-1.9464693810232276
Республика Марий Эл,2007,0.8772641678455574,-0.2760815355215338
Республика Марий Эл,2008,0.7583971558980448,-0.8669197408963154
Республика Марий Эл,2009,-0.2768963630831722,-1.6050587508814702
Республика Марий Эл,2010,-1.4423376701041217,-1.8621554503439557
Республика Марий Эл,2011,0.41032098828684443,-0.8858293378759942
Республика Марий Эл,2012,0.7687588380483666,-0.5004458259108864
Республика Марий Эл,2013,0.36178985915053646,-0.8485385563771605
Республика Марий Эл,2014,-0.5550160584114059,-1.6155886742444034
