region,year,subsidy_main,subsidy_secondary,subsidy_third,subsidy_col_4,subsidy_col_5,subsidy_col_6,subsidy_col_7,subsidy_col_8,subsidy_col_9,subsidy_col_10
Магаданская область,2021,44000001729.0,204.1522,58.94969999999999,120.37304865,175.10676514,66.49754865,116.44276687,66.11578571,127.01714475,175.04436557
Магаданская область,2022,44000001638.0,189.5292,55.090300000000006,108.06754292000001,158.96598561000002,64.62864292,103.88537846,77.95278723,119.50483874,158.96577354
Магаданская область,2023,1820.0,832.886,0.0,887.7034098,832.169,55.53440979999999,832.1689764,0.25507425,887.70338572,832.1689764
Магаданская область,2024,1547.0,495.96979999999996,0.0,525.87725528,489.19579999999996,36.68145528,489.19536422,0.45118272000000004,525.87676562,489.19536422
Московская область,2016,138000000156.0,4687.9595,18485353.4652,88505065.49408,64403679.46257,24106669.34749,63476290.92689188,8671107.22043117,80877035.11683023,63912158.36253666
Московская область,2017,138000000120.0,4920.7566,2474954374.9519,1108116585.3637042,916245111.9709522,191876775.55900422,916157201.771771,2466.30193009,1108011579.324028,916159609.6277136
Московская область,2018,138000000144.0,6622429136.0,6673070200.0,9211393690.0,11291015945.0,5709499690.0,7769180157.34,3321117723.12,9088356515.66,11006356137.38
Московская область,2019,138000000144.0,3057.4725000000003,1815949870.7594,273424630.30661654,147652852.24602827,125783139.48188582,147650501.31512707,988501.92562837,273425228.3065463,147652798.65510526
Московская область,2020,138000000168.0,3107.4361,3087188949.7295,626801243.9878348,338476669.52902937,915128221.0174348,676494575.2750416,914292689.7360718,676044173.33155,287947904.3314995
Московская область,2021,46000000228.0,3459.87142,1986.0801599999998,4523.612951179999,5715.0137988199995,3392.27289118,3802.3116185999997,1931.6325386699998,4540.95620325,5440.58778273
Московская область,2022,46000000216.0,2442.2954999999997,1363.3410999999999,3519.8228579599995,4316.23214055,2466.51945796,2976.35630203,1387.73176846,3549.94431014,4310.76963098
Московская область,2023,240.0,8349.8483,0.0,15446.619979570001,8159.5993,7287.02067957,8159.45547295,129.42426277,15446.42518932,8159.45547289
Московская область,2024,204.0,4711.6246,0.0,7613.98246691,4322.008999999999,3291.9734669099994,4321.97500231,165.47267702,7613.92190924,4321.97500231
Мурманская область,2016,141000000390.0,178.3894,44.1947,145.05474,160.91676999999999,100.86004,116.72177101999999,44.26638351,139.52467908,158.13348231
Мурманская область,2017,141000000300.0,181.3039,45669945.6699,156.21923999999999,170.68147,110.58524,154.62781578,43.55975977,143.23362378,159.78447345
Мурманская область,2018,141000000360.0,81708490.0,83342600.0,115082253.38,140400371.69,75045153.38,94469105.69,42422765.26,111963718.63999999,133140371.69
Мурманская область,2019,141000000360.0,156.0481,51040298.78850986,1278713.05066769,907949.06965286,377112.97776768997,907914.37680211,48.61320424,1278720.03081944,907960.79489894
Мурманская область,2020,141000000420.0,219.87539999999998,148071697.8048,36569300.16677855,25964341.75521181,47174346.79517855,51928343.95031183,47174308.25333918,51928345.82537688,10605263.20750623
Мурманская область,2021,47000000570.0,220.88020000000003,105.40850000000002,222.85343864,292.09071008,148.44038864,198.47636288,93.0413514,222.31541439999998,291.43970076
Мурманская область,2022,47000000540.0,230.525,107.40740000000001,241.65063252999997,301.77030626,157.71728053,209.05579724,94.18519282,242.33872651000001,301.53805951000004
Мурманская область,2023,600.0,537.3913,0.0,607.7813076,519.0527,88.7286076,519.05245984,24.446486540000002,607.78093938,519.05245984
Мурманская область,2024,510.0,449.0463,0.0,451.78807765000005,403.1992399999999,48.58883765,403.1992399999999,7.803387760000001,451.78807765000005,403.1992399999999
Ненецкий АО,2016,11100000000.0,25.0,,,,,,,,
Ненецкий АО,2017,11100000025.0,25.0,39907500.0,,,,35.0,,,
Ненецкий АО,2018,11100000025.0,25.0,36713900.0,,,,35.0,,,
