region,year,area_total,level
Воронежская область,2017,1486.684,region
Воронежская область,2018,1464.873,region
Воронежская область,2019,1508.162,region
Воронежская область,2020,1584.411,region
Воронежская область,2021,1401.451,region
Воронежская область,2022,1619.73901,region
Воронежская область,2023,1466.43305,region
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2018,511.836,region
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2019,543.187,region
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2020,531.148,region
ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,2021,516.983,region
Дальневосточный Федеральный округ,2007,385.502,federal_district
Дальневосточный Федеральный округ,2008,417.131,federal_district
Дальневосточный Федеральный округ,2009,417.531,federal_district
Дальневосточный Федеральный округ,2010,320.477,federal_district
Дальневосточный Федеральный округ,2011,333.751,federal_district
Дальневосточный Федеральный округ,2012,379.547,federal_district
Дальневосточный Федеральный округ,2013,313.79,federal_district
Дальневосточный Федеральный округ,2014,337.833,federal_district
Дальневосточный Федеральный округ,2015,308.203,federal_district
Дальневосточный Федеральный округ,2016,352.703,federal_district
Дальневосточный Федеральный округ,2017,329.452,federal_district
Дальневосточный федеральный округ,2022,519.21849,region
Дальневосточный федеральный округ,2023,538.20184,region
Еврейская Автономная область,2018,5.654,region
Еврейская Автономная область,2019,6.039,region
Еврейская Автономная область,2020,5.23,region
Еврейская Автономная область,2021,4.872,region
Еврейская автономная область,2007,23.033,region
Еврейская автономная область,2008,23.36500000000001,region
Еврейская автономная область,2009,23.915,region
Еврейская автономная область,2010,14.587,region
Еврейская автономная область,2011,18.134,region
Еврейская автономная область,2012,17.084,region
Еврейская автономная область,2013,9.315,region
Еврейская автономная область,2014,9.943,region
Еврейская автономная область,2015,7.114999999999999,region
Еврейская автономная область,2016,7.306,region
Еврейская автономная область,2017,7.056999999999999,region
Еврейская автономная область,2022,5.7003,region
Еврейская автономная область,2023,6.9409,region
Забайкальский край,2007,193.746,region
Забайкальский край,2008,178.414,region
Забайкальский край,2009,180.853,region
Забайкальский край,2010,152.38,region
Забайкальский край,2011,155.766,region
Забайкальский край,2012,143.236,region
Забайкальский край,2013,142.511,region
Забайкальский край,2014,144.053,region
Забайкальский край,2015,140.472,region
Забайкальский край,2016,132.59,region
Забайкальский край,2017,126.083,region
Забайкальский край,2018,122.783,region
Забайкальский край,2019,119.701,region
Забайкальский край,2020,112.022,region
Забайкальский край,2021,115.299,region
Забайкальский край,2022,122.79699,region
Забайкальский край,2023,117.1791,region
Ивановская область,2007,66.568,region
Ивановская область,2008,72.692,region
Ивановская область,2009,68.367,region
