region,region_std,year,production,area_total,temp_annual_mean,prec_annual_sum,temp_grow_mean,prec_grow_sum,prec_winter_sum,temp_annual_lag1,prec_annual_lag1,temp_grow_lag1,prec_grow_lag1,ln_production,ln_area,temp_grow_sq,prec_grow_sq
Тюменская область,Тюменская область,2015,1337000.0,693.075,1.970801669166666,672.7330449670429,12.2890132,458.84291134205006,148.34765754248295,0.5726072916666666,658.8105501368865,11.350939649999999,392.544140903898,14.10593885608408,6.541138218442214,151.01984542977422,210536.8172888484
Тюменская область,Тюменская область,2016,1286400.0,696.206,1.6916516000000001,533.5386989539325,14.31302565,342.6221114693082,164.3258931383814,1.970801669166666,672.7330449670429,12.2890132,458.84291134205006,14.067358177406838,6.545645593553359,204.86270325755794,117389.91126768706
Тюменская область,Тюменская область,2017,1585900.0,686.788,1.9646571550000003,488.96654086006504,12.34866065,327.8510845867491,154.73190769784537,1.6916516000000001,533.5386989539325,14.31302565,342.6221114693082,14.276662627486692,6.532025656535208,152.4894198488584,107486.33366470771
Тюменская область,Тюменская область,2018,1341200.0,672.178,0.7288154333333337,579.8308725206304,11.521338583333334,376.6309367546156,107.29772453594686,1.9646571550000003,488.96654086006504,12.34866065,327.8510845867491,14.109075293574211,6.510523186400764,132.74124275180534,141850.86252065928
Тюменская область,Тюменская область,2019,1481700.0,662.811,2.0780007916666667,607.5316229483022,12.143804033333334,396.92412588087365,158.13209965471833,0.7288154333333337,579.8308725206304,11.521338583333334,376.6309367546156,14.208700635196825,6.496489881672989,147.47197640000294,157548.76170629563
Тюменская область,Тюменская область,2020,1357100.0,683.774,4.209094833333333,553.1949252999311,14.445887749999999,343.7139361001091,169.91069198112456,2.0780007916666667,607.5316229483022,12.143804033333334,396.92412588087365,14.120860628069462,6.527627453668627,208.68367288560003,118139.26986942987
Тюменская область,Тюменская область,2021,1128900.0,692.665,1.858838475,454.7270563737255,13.915690116666667,269.2758272314485,127.17002584331223,4.209094833333333,553.1949252999311,14.445887749999999,343.7139361001091,13.936754265249638,6.540546476828399,193.64643142309436,72509.4711311809
Тюменская область,Тюменская область,2022,1901800.0,712.35745,1.967048316666667,435.89436261015067,12.991861966666667,299.184988506611,159.43835982192735,1.858838475,454.7270563737255,13.915690116666667,269.2758272314485,14.45831136408748,6.568579821950659,168.78847736091987,89511.65734770094
Тюменская область,Тюменская область,2023,1548200.0,729.14642,3.364926991666666,286.6514768747361,13.754743900000001,163.24144602233608,81.95553732444478,1.967048316666667,435.89436261015067,12.991861966666667,299.184988506611,14.25260352375275,6.591874562321011,189.19297975458724,26647.769699463264
Удмуртская Республика,Удмуртская Республика,2007,556410.0,417.242,3.500126275,770.5446230372114,13.239761033333332,478.2268533700897,168.3040615836459,,,,,13.229260711551442,6.033666389200558,175.2912722197717,228700.9232842573
Удмуртская Республика,Удмуртская Республика,2008,646110.0,427.146,4.680084508333333,707.9066194156486,12.638573399999999,366.0123626065831,249.76662466631782,3.500126275,770.5446230372114,13.239761033333332,478.2268533700897,13.378725046906748,6.057125875161882,159.73353758718753,133965.04958085288
Удмуртская Республика,Удмуртская Республика,2009,654654.6000000001,406.446,3.1677176116666668,600.7358759297479,12.70369309,319.83131651945655,223.37222140825565,4.680084508333333,707.9066194156486,12.638573399999999,366.0123626065831,13.391863047286677,6.0074510788352615,161.38381812491374,102292.0710265688
Удмуртская Республика,Удмуртская Республика,2010,312900.0,415.719,3.3817585999999995,530.8526787416829,15.2335854,232.12324802887537,200.13121880235212,3.1677176116666668,600.7358759297479,12.70369309,319.83131651945655,12.653638929656973,6.03000955125211,232.06212413909319,53881.20227547479
Удмуртская Республика,Удмуртская Республика,2011,640800.0,375.208,2.730170383333333,741.9319319604385,13.1791273,435.3914189252642,278.0758624346025,3.3817585999999995,530.8526787416829,15.2335854,232.12324802887537,13.370472674736286,5.92748053886638,173.68939638960526,189565.6876737549
Удмуртская Республика,Удмуртская Республика,2012,482200.0,352.521,3.5361501083333327,677.9280023182592,14.4969059,394.20295502841475,203.79633670901097,2.730170383333333,741.9319319604385,13.1791273,435.3914189252642,13.086114244729208,5.86511019494592,210.1602806734548,155395.96975313438
Удмуртская Республика,Удмуртская Республика,2013,306100.0,425.968,4.0866742333333335,698.0768531982937,13.925926266666666,340.9830753618671,263.0011895105723,3.5361501083333327,677.9280023182592,14.4969059,394.20295502841475,12.631667124933504,6.054364226077028,193.9314223846366,116269.45768323676
Удмуртская Республика,Удмуртская Республика,2014,609800.0,358.132,2.783770288333333,682.9910654712107,12.531226316666666,351.48122975489787,267.4318032615608,4.0866742333333335,698.0768531982937,13.925926266666666,340.9830753618671,13.320886313536292,5.880901633525797,157.03163299951922,123539.0548700153
Удмуртская Республика,Удмуртская Республика,2015,529900.0,369.0820000000001,3.7706113416666667,786.8948574928987,12.94573045,461.77268212168445,197.96332909786892,2.783770288333333,682.9910654712107,12.531226316666666,351.48122975489787,13.180443588480854,5.911018841575049,167.5919368840572,213234.00995385423
Удмуртская Республика,Удмуртская Республика,2016,542400.0,362.193,4.125782933333333,614.0229790410688,15.055304283333333,297.76563545292424,307.8518062701148,3.7706113416666667,786.8948574928987,12.94573045,461.77268212168445,13.203759015608323,5.892177218923518,226.662187063755,88664.37365668378
Удмуртская Республика,Удмуртская Республика,2017,703100.0,353.902,3.2125302166666665,733.1436285513063,11.65404915,435.23839799290704,259.0284334702838,4.125782933333333,614.0229790410688,15.055304283333333,297.76563545292424,13.463254408187252,5.86902003864938,135.81686159061573,189432.46308743214
